Artist;Title;Link
Caetano Veloso; Sozinho; https://www.youtube.com/watch?v=j9UbE1slI-Q
Caetano Veloso y Maria Gadú; O LeaoZinho; https://www.youtube.com/watch?v=A1WDI3vmbVI&index=2&list=PLlCNA0q2Pxt-DyHyjl5Rmx0GzqXtgiK-b
